,block_number,from_address,to_address,isERC20
34328399,11186360,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x9925b146bbc1f6e56334f0c1237783829aa131b5,False
37351014,11665010,0x2971adfa57b20e5a416ae5a708a8655a9c74f723,0xa85aa4e89c7321f5d69624ba171074b6b000a378,False
42711215,12554143,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x8d17097c10a3814a650e3e1a0d22a7eab044ae1d,False
22654909,9639529,0x0000000000b3f879cb30fe243b4dfee438691c04,0xe223897b355778c6ab799aef4ad77f59ae861261,False
14703392,7581057,0x0000000000b3f879cb30fe243b4dfee438691c04,0x505956c4fb54712b82ec5d31c0c629629fb4dde9,False
33851235,11128353,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x0bbbf9bcef5b6c8a7251f5fccf18858bd06acc8b,False
43560778,12599900,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xbd1c19ec5d2626fd010360d95362994622f286c1,False
34967885,11235819,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x5d32fa451bebe44e4801c4f0b88070c514dd072e,False
18951059,8749802,0x0000000000b3f879cb30fe243b4dfee438691c04,0xd3d68c144ddbb7e2a3fb7c19a21040fbc7b81c24,False
32215165,11019716,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x407f47a29a3e95bdeb92622e24b618ff1660fa0f,False
30726464,10817819,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xef8e3070aaa95e420b692e28698960f7cdcb2791,False
38715560,11965689,0x2a549b4af9ec39b03142da6dc32221fc390b5533,0xf377e8e15b8c5815eacdef63e4dca291e3b16990,False
3578601,4783915,0x0000000000b3f879cb30fe243b4dfee438691c04,0x23cb2424f1477e87aa24f2b0e726431d5b9ea098,False
23147971,9679359,0x0000000000b3f879cb30fe243b4dfee438691c04,0x88f732cbe463f959944d0bc6a53fc7b2760eb476,False
35372550,11260910,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x03bb251f9fde818ca65e3b77ae8ccc3c38f805f3,False
26304856,10208980,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xfa8d72a0f5ec522b3d4e588ae64710b4c269087a,False
21161349,9313967,0x0000000000b3f879cb30fe243b4dfee438691c04,0x3555235b46026dad3fdea4ce52a5ae73ea3710da,False
1997416,4329120,0x0000000000b3f879cb30fe243b4dfee438691c04,0x86acc29f84501f30a737abde0e45ddd9c86d0953,False
39248477,12122096,0xffa397285ce46fb78c588a9e993286aac68c37cd,0x9d5dc2763c62a9f916629380741f0b11b435db0f,False
22687588,9641838,0x0000000000b3f879cb30fe243b4dfee438691c04,0xdde2190487ab1567ae007a4bf346c69d86fd86ec,False
35575019,11335172,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x5f2ee0f30cb2a7d96c5e94a8b8546934427fd72b,False
39164119,12105520,0xffa397285ce46fb78c588a9e993286aac68c37cd,0xdcef09ff251f7f7b30febfea2b39337af0ef5afe,False
2948356,4595177,0x1522900b6dafac587d499a862861c0869be6e428,0x5b8adb7e0d68e64687da162f344c8867e14df737,False
40640267,12312788,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xd7e10bac01340226d3f27181008f62e88858a14c,False
33645177,11121281,0x000000000000084e91743124a982076c59f10084,0xe52ca6c6e1ec48263996cb088b245b2951875325,False
43693752,12609282,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x7e161f5e2f397f02bcfd3ec91a1870639fa1a282,False
32282946,11029194,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x52cd49a687e468756f180820fb9941f0adeccd92,False
32470961,11037121,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x74e3f973aeab3daba39a71a346b0ab73990339e7,False
15585854,7791043,0x1522900b6dafac587d499a862861c0869be6e428,0xa1e6f1a5aadd69092df1a74c1fd6a4699860f827,False
45722417,12765173,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x5fd6f3161e479b3d8f3c8123205ec133311648c8,False
35381144,11261825,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x0fb1b34fd0131f6681300e26b137805e60642943,False
39270730,12125396,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0xcf2758238318bc36f13e896fe5f2f6093d7edc85,False
32807241,11069010,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x8b01903fef177993eaecc184d009903eb4a094c5,False
39062814,12079437,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x11400e1fe735a932cb90e32fc1d93fa2fc067811,False
34009611,11147529,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x09b5266438c632bb4ac630517db0fe2e03a62de5,False
